artificial neural network	deep learning	{'31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
artificial neural network	computer vision	{'188df0e1a40ac5278909401e1b79588ceab4c7cf': 2}
multimodal interaction	language model	{'e1c311aa46b9c22870e043980791e5ede54feb28': 2, 'f01ed9d1c2a8e1dc3d0147f55fcce4e24c9f747a': 2}
iterative method	algorithm	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2}
analytical models	topology	{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 3}
analytical models	mathematical model	{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 2}
topology	mathematical model	{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 2}
particle swarm optimization	mathematical optimization	{'854c26751f623ec6fb0207235d82e9ceb20d5ba9': 4, 'be1bdf67a8c276bffc036bbf880186190d18dbad': 4}
ant colony optimization algorithms	mathematical optimization	{'88722517ea3bdea2c767436f1c3981ddb1604a3f': 2}
iteration	simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
iteration	machine learning	{'56da068a7f2f2027c1d51a1452d912d527d02398': 2}
genetic algorithm	heuristic	{'b610370486ebcec9080188afd35a654af82003e2': 2}
genetic algorithm	mathematical optimization	{'b610370486ebcec9080188afd35a654af82003e2': 2, 'f0726b28ea878d7ad76604cf1da2d324ee6e88b8': 2}
heuristic	mathematical optimization	{'b610370486ebcec9080188afd35a654af82003e2': 2}
machine learning	mathematical optimization	{'56da068a7f2f2027c1d51a1452d912d527d02398': 2}
usb on-the-go	hamilton–jacobi–bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
usb on-the-go	iteration	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
usb on-the-go	nonlinear system	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
usb on-the-go	dynamic programming	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
usb on-the-go	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
usb on-the-go	algorithm	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
usb on-the-go	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
usb on-the-go	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
usb on-the-go	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
hamilton–jacobi–bellman equation	iteration	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
