artificial neural network	dropout (neural networks)	{'a326217695a388f971334eedb8773b91a564bc99': 2, '63efd46a74fb066ad2d6b35752045fe5e5d6f2bc': 2}
artificial neural network	overfitting	{'a326217695a388f971334eedb8773b91a564bc99': 2, '63efd46a74fb066ad2d6b35752045fe5e5d6f2bc': 2}
artificial neural network	test data	{'a326217695a388f971334eedb8773b91a564bc99': 2, '63efd46a74fb066ad2d6b35752045fe5e5d6f2bc': 2}
dropout (neural networks)	overfitting	{'a326217695a388f971334eedb8773b91a564bc99': 2, '63efd46a74fb066ad2d6b35752045fe5e5d6f2bc': 2}
dropout (neural networks)	test data	{'a326217695a388f971334eedb8773b91a564bc99': 2, '63efd46a74fb066ad2d6b35752045fe5e5d6f2bc': 2}
overfitting	test data	{'a326217695a388f971334eedb8773b91a564bc99': 2, '63efd46a74fb066ad2d6b35752045fe5e5d6f2bc': 2}
data mining	supervised learning	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2, 'be08c53fca35c3ac0b2bddc1585f66566ef52618': 2, '5003254a139570883b10bbaa7ca34128c77d4c89': 2}
data mining	missing data	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2, 'be08c53fca35c3ac0b2bddc1585f66566ef52618': 2, '5003254a139570883b10bbaa7ca34128c77d4c89': 2}
data mining	fuzzy control system	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2, 'be08c53fca35c3ac0b2bddc1585f66566ef52618': 2, '5003254a139570883b10bbaa7ca34128c77d4c89': 2}
data mining	experiment	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2, 'be08c53fca35c3ac0b2bddc1585f66566ef52618': 2, '5003254a139570883b10bbaa7ca34128c77d4c89': 2}
data mining	preprocessor	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2, 'be08c53fca35c3ac0b2bddc1585f66566ef52618': 2, '5003254a139570883b10bbaa7ca34128c77d4c89': 2}
