particle swarm optimization	mathematical optimization	{'8b707a1fe1db031276f419c33e56b7ef4fe0cacf': 2}
numerical analysis	mathematical optimization	{'4fe434ef63c8685ab13a7f5c2279c4af1b70f718': 2, '9454b3d21bec46018dabd27cc2633d1ade7fde90': 2}
self-organization	multi-agent system	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
self-organization	coexist (image)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
self-organization	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
self-organization	algorithm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
self-organization	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
self-organization	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
self-organization	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
self-organization	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
self-organization	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	multi-agent system	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	action selection	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	algorithm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
real-time clock	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
numerous	multi-agent system	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
numerous	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
numerous	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
numerous	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
multi-agent system	coexist (image)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
multi-agent system	action selection	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
multi-agent system	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 6}
multi-agent system	algorithm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
multi-agent system	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
multi-agent system	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
multi-agent system	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 7, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
multi-agent system	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
multi-agent system	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 6, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
coexist (image)	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
coexist (image)	algorithm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
coexist (image)	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
coexist (image)	centralized computing	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
coexist (image)	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
coexist (image)	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
coexist (image)	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	algorithm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
action selection	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
interference (communication)	algorithm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3, '162b18f95b6145c5b0e08a6694dfdfe556e5ab12': 2}
interference (communication)	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4}
interference (communication)	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
interference (communication)	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 6}
interference (communication)	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
interference (communication)	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 5}
algorithm	whole earth 'lectronic link	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
algorithm	centralized computing	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
algorithm	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 5, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
algorithm	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
algorithm	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
algorithm	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
whole earth 'lectronic link	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
whole earth 'lectronic link	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
whole earth 'lectronic link	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
whole earth 'lectronic link	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
centralized computing	programming paradigm	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
programming paradigm	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
programming paradigm	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
programming paradigm	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
reinforcement learning	rate of convergence	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
reinforcement learning	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 6, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
rate of convergence	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
artificial neural network	linear matrix inequality	{'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2, '3203e6c5b896f0003029bf7d94a1f683150fa4fb': 2}
algorithm	mathematical optimization	{'8b707a1fe1db031276f419c33e56b7ef4fe0cacf': 2, '4fe434ef63c8685ab13a7f5c2279c4af1b70f718': 2}
simulation	cognitive radio	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 2}
simulation	reinforcement learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
simulation	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
cognitive radio	reinforcement learning	{'985b4d8847f9703ca2d9362637b4abf7c18ddf18': 2, '9104d62727465d1e042210f208d448f56b930ba8': 2, '04996e595aead08898201aa208aacf1d09836a8e': 2, 'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2, '4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
cognitive radio	q-learning	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 4, '383fe7233e92cc4058502c3b839a7f412817b586': 2}
spectrum analyzer	height above ground level	{'8468cb3bd853eff1fc3415464ed879ab95bc2c4b': 2}
spectrum analyzer	cognitive radio	{'8468cb3bd853eff1fc3415464ed879ab95bc2c4b': 2}
height above ground level	cognitive radio	{'8468cb3bd853eff1fc3415464ed879ab95bc2c4b': 2}
neutral type	linear matrix inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
linear matrix inequality	neural networks	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
input multiple	output communication	{'00a7ff420e306f9544acd410161be01f0fdf9b91': 2}
scheduling (computing)	cognitive radio	{'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2}
simulation	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 5}
cognitive radio	interference (communication)	{'4f0247b98121170dd9048d2a1ca1b7e9f01c8286': 3}
cognitive radio	centralized computing	{'ca3292c881d51585e4c56b236b5a6480736bdbb4': 2, '8ac8ebde9a6f9f984a2c50d469f6e8dbe2e017df': 2}
data mining	machine learning	{'af2aea07ba7f6e5362c1ea5622348f5c4c6b34b8': 2}
linear matrix inequality	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '9f5846f72d1c806f1c71fd18c67410a0d2c88c3a': 2}
neural networks	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
social media	important tool	{'d2a5729b42e8ec8635f0b59fa38c1d57e6ec03d1': 2}
scheduling (computing)	context awareness	{'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2}
scheduling (computing)	network congestion	{'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2}
scheduling (computing)	operating environment	{'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2}
scheduling (computing)	reinforcement learning	{'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2}
context awareness	network congestion	{'b97dc8552ba7d5cbdaa1bc6de5126ff7453c8c31': 2, 'cdc6472694d29cd2244a3332f14d3d8e46f95a21': 2}
