linear matrix inequality	lyapunov fractal	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '3ff39748f0016f58da7a3e81623ad435080e286e': 2, 'c398821eeb40120067cc0ceb1489410741c6f99f': 2}
interference (communication)	multitier architecture	{'c64756dd500db112b665570730e3ad13d76ca413': 2}
interference (communication)	signal-to-interference-plus-noise ratio	{'0ef9ab9def6a7ee29d1e4a2a1ec62b4e62a1bb4c': 2}
checking (action)	lyapunov fractal	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
lyapunov fractal	exponential	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
lyapunov fractal	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
exponential	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
swarm robotics 	self-organization 	{'5b0735061c33c9f1849de2e781a6ce48acd61b77': 2}
swarm robotics 	swarm intelligence 	{'5b0735061c33c9f1849de2e781a6ce48acd61b77': 2}
self-organization 	swarm intelligence 	{'5b0735061c33c9f1849de2e781a6ce48acd61b77': 2}
telecommunications link	simulation	{'29a190468235200834c3b43f5724962543b5ae8e': 2, '103cf34900a82c085f442a204a941099e1632e6f': 2, '0ef9ab9def6a7ee29d1e4a2a1ec62b4e62a1bb4c': 2}
telecommunications link	interference (communication)	{'29a190468235200834c3b43f5724962543b5ae8e': 2, '103cf34900a82c085f442a204a941099e1632e6f': 2, '0ef9ab9def6a7ee29d1e4a2a1ec62b4e62a1bb4c': 2}
simulation	interference (communication)	{'29a190468235200834c3b43f5724962543b5ae8e': 2, '103cf34900a82c085f442a204a941099e1632e6f': 2, '0ef9ab9def6a7ee29d1e4a2a1ec62b4e62a1bb4c': 3}
interference (communication)	quality of service	{'0deadd5c6c462f053a66e3c1f12550b525285403': 2}
channel capacity	interference (communication)	{'0ef9ab9def6a7ee29d1e4a2a1ec62b4e62a1bb4c': 2}
cognitive radio	interference (communication)	{'c64756dd500db112b665570730e3ad13d76ca413': 2}
cognitive radio	multitier architecture	{'c64756dd500db112b665570730e3ad13d76ca413': 2}
