cognitive radio	frequency band	{'e3c1aadf4975602966e6f1d10a1c14ab36e78267': 2}
cognitive radio	interference (communication)	{'25d001aff3299c438f0ee46bb47549745170990e': 2}
mathematical optimization	evolutionary algorithm	{'3a6d666fcf31a9c5ea4cb52746280ef013dbecd4': 2}
particle swarm optimization	mathematical optimization	{'2ede85f49eedb3c7a1b3209ba92ab7b12f10861e': 3, 'c8a1935cc38e43440977e665bb29b37e1acf46db': 2, 'c9cc6f9df67626977678cdacce5f1bea9a6708ef': 2}
algorithm	mathematical optimization	{'7f85c4651602ac80172601d9d992ce375f27ca46': 2}
mathematical optimization	differential evolution	{'3a6d666fcf31a9c5ea4cb52746280ef013dbecd4': 2, '8b707a1fe1db031276f419c33e56b7ef4fe0cacf': 2}
web applications	web forums	{'5b8ce1ccadb1ce66c6d259d5ad4d5bfb7a68f8f2': 2, '5d99c13fc15f8b7e92628297e7f3a0643420932a': 2, '842d6c6c6d83960fc82d197d51da5645309687cc': 2}
real data sets	desirable property	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
real data sets	style algorithm	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
real data sets	dual sparsity	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
real data sets	margin markov network	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
desirable property	style algorithm	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
desirable property	dual sparsity	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
desirable property	margin markov network	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
style algorithm	dual sparsity	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
style algorithm	margin markov network	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
dual sparsity	margin markov network	{'f3af0086ba0b92e5200355644410a66f9a410d08': 2, 'a0bd288c446e8a7b211a4250dd901467a5803cda': 2}
34k14	92b20	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
distributed delay	lyapunov functional	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
blog network	information diffusion	{'42b5ecc92b0ec166e4362e519ea715b8f3951c80': 2}
disjunctive normal form	evolutionary algorithm	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2}
fuzzy rule	evolutionary algorithm	{'e1ecea7998ab4c68918f18fdf64c84916c078b37': 2, '5003254a139570883b10bbaa7ca34128c77d4c89': 2}
05.45.xt	05.45.vx	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
05.45.xt	05.45.gg	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '618443e63001a18063f0a96f6cbfdf02b90f0608': 2}
05.45.vx	05.45.gg	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
linear matrix inequality	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 3}
visual quality	digital images captured	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2, '29deeeaf8f3c14564a00576ca7d5665eaf89cbf9': 2}
artificial neural network	biological neural networks	{'c597378696ccf04d6c127612bb08779544238ed1': 2}
semantic attributes	semantic filexa0…	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic attributes	manual entry	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic attributes	semantic attributes allows	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic attributes	improved organization	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic attributes	attribute information	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic attributes	automatically generated	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic attributes	semantic information	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic filexa0…	manual entry	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic filexa0…	semantic attributes allows	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic filexa0…	improved organization	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic filexa0…	attribute information	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic filexa0…	automatically generated	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
semantic filexa0…	semantic information	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
manual entry	semantic attributes allows	{'24a7ba21bfd774cd05a21e5c46388675293174d4': 2, '8a4a7ef183fd0ae5428eb8fc144ebdc9094357fb': 2}
