particle swarm optimization	velocity (software development)	{'3d3344621f4f37916cf28d1d60087439f7a571e6': 2}
particle swarm optimization	mathematical optimization	{'3d3344621f4f37916cf28d1d60087439f7a571e6': 2}
velocity (software development)	mathematical optimization	{'3d3344621f4f37916cf28d1d60087439f7a571e6': 2}
artificial neural network	linear matrix inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'a133635a50984f41dd437e5a233d8010ea1b501d': 3}
artificial neural network	time-varying delays	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
artificial neural network	neural network simulation	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 5, 'a133635a50984f41dd437e5a233d8010ea1b501d': 3}
artificial neural network	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 3, 'a133635a50984f41dd437e5a233d8010ea1b501d': 3}
artificial neural network	lyapunov functional	{'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
synchronization	chaos	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
synchronization	lyapunov functional	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
chaos	lyapunov functional	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
linear matrix inequality	time-varying delays	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
linear matrix inequality	neural network simulation	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'a133635a50984f41dd437e5a233d8010ea1b501d': 3}
linear matrix inequality	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'a133635a50984f41dd437e5a233d8010ea1b501d': 3}
linear matrix inequality	lyapunov functional	{'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
lyapunov fractal	neural network simulation	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
time-varying delays	neural network simulation	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
neural network simulation	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 3, 'a133635a50984f41dd437e5a233d8010ea1b501d': 3}
neural network simulation	lyapunov functional	{'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
social inequality	lyapunov functional	{'a133635a50984f41dd437e5a233d8010ea1b501d': 2}
paper focuses	fuzzy logic control	{'f6ca8b3df5f50d99682c7bd69f84bcf30b49be06': 2}
paper focuses	fuzzy multi	{'f6ca8b3df5f50d99682c7bd69f84bcf30b49be06': 2}
paper focuses	mobility management	{'f6ca8b3df5f50d99682c7bd69f84bcf30b49be06': 2}
fuzzy logic control	fuzzy multi	{'f6ca8b3df5f50d99682c7bd69f84bcf30b49be06': 2}
fuzzy logic control	mobility management	{'f6ca8b3df5f50d99682c7bd69f84bcf30b49be06': 2}
fuzzy multi	mobility management	{'f6ca8b3df5f50d99682c7bd69f84bcf30b49be06': 2}
